name,distribution,policy,rate,concurrency,threshold,total,cache_hit_rate,avg_latency_ms,avg_score,p50_ms,p90_ms,p99_ms,requests_out,errors_out,persist_out
E1,poisson,allkeys-lru,5,2,0.6,10007,16.17,2813381.46,0.178,2733645.00,5852874.20,6576644.12,30178,0,10017
E2,poisson,allkeys-lfu,5,2,0.6,10008,8.10,9657964.13,0.176,10171670.00,13507683.50,14277267.71,60370,0,20044
E3,uniform,allkeys-lru,5,2,0.6,10015,7.95,16778906.34,0.178,17987144.00,21112567.80,21812092.40,90565,0,30078
E4,uniform,allkeys-lfu,5,2,0.6,10022,8.73,19699434.81,0.180,21528468.00,23930371.10,24646994.37,120875,0,40121
E5,poisson,allkeys-lru,5,2,0.6,10033,9.03,25757406.23,0.180,27949602.00,31104123.00,31832048.04,151069,0,50176
E6,poisson,allkeys-lru,6,2,0.6,10010,7.79,32760935.83,0.181,35226389.00,38333408.20,39057959.34,181265,0,60208
